CODI_SAD;ANY;GEN_DIARI;FEB_DIARI;MAR_DIARI;ABR_DIARI;MAI_DIARI;JUN_DIARI;JUL_DIARI;AGO_DIARI;SET_DIARI;OCT_DIARI;NOV_DIARI;DES_DIARI
AFLUENT_GOTARRA_ONYAR;2021;0,164076763;0,359323843;0,016641851;0,054714094;0,093778245;0,002419311;0,003445387;0,00546013;0,275631164;0,013809271;0,765239331;0,046334739
AFLUENT_GOTARRA_ONYAR;2022;0,015705877;0,013534051;0,641835241;0,511495872;0,12723077;0,080483033;0,582857986;0,502483199;1,126647374;2,260799955;1,749318412;0,840257168
AFLUENT_GOTARRA_ONYAR;2023;0,404303539;0,225682416;0,065417228;0,073092361;0,456542227;0,304138971;0,10800616;0,157524978;0,149965791;0,143351591;0,171732755;0,200634073
AFLUENT_GOTARRA_ONYAR;2024;0,224157594;0,208265925;0,324010641;0,620099142;0,319059252;0,177331822;0,064958333;0,576735347;0,599555716;0,53740961;0,689283912;0,483537753
AFLUENT_GOTARRA_ONYAR;2025;0,463416727;0,549270141;3,641497277;0,739838423;1,487294724;0,222531061;0,622455474;;;;;
AFLUENT_GURRI;2007;0,059764404;0,058964286;0,094277419;0,15681;0,110522581;0,090876667;0,012212164;0,02413517;0,019336667;0,066545161;0,018483333;0,022741935
AFLUENT_GURRI;2008;0,069380645;0,026058621;0,074390323;0,11388;0,171377419;0,152577639;0,109793548;0,043482079;0,085763773;0,054508344;0,10097704;0,109100918
AFLUENT_GURRI;2009;0,16875672;0,185432074;0,137822137;0,214510995;0,186971288;0,126459375;0,095558266;0,117916891;0,089239352;0,07503161;0,055201852;0,075072693
AFLUENT_GURRI;2010;0,108226636;0,162342138;0,203801414;0,151854306;0,236104368;0,168103357;0,096003472;0,09455362;0,084503661;0,153943685;0,107805994;0,099532833
AFLUENT_GURRI;2011;0,083389861;0,084911808;0,243095196;0,173813776;0,154437317;0,216825683;0,175033351;0,143260859;0,10621691;0,06990279;0,316233809;0,18083124
AFLUENT_GURRI;2012;0,145183433;0,120736882;0,120562865;0,159359266;0,171585243;;;;;;;
AFLUENT_GURRI;2013;;;;;;;;;;;;
AFLUENT_GURRI;2014;;;;;;;;;;;;
AFLUENT_GURRI;2015;;;;;;;;;;;;
AFLUENT_GURRI;2016;;;0,362102507;0,414154053;0,403094402;0,363960593;0,378842023;0,349398573;0,36859463;0,462365643;0,47630123;0,471092296
AFLUENT_GURRI;2017;0,14176962;0,182423488;0,222490431;0,27177263;0,219439821;0,217038705;0,20581967;0,20400175;0,254074135;0,177632528;0,158877389;0,142365466
AFLUENT_GURRI;2018;0,173218793;0,238247948;0,257222404;0,23467838;0,2365969;0,199543227;0,119948959;0,24288791;0,326139358;0,360682559;0,337093815;0,231450545
AFLUENT_GURRI;2019;0,192063832;0,162373123;0,147252762;0,191967805;0,183621626;0,143975116;0,082577187;0,048698981;0,102133746;0,131923811;0,258719846;0,224402931
AFLUENT_GURRI;2020;0,380103069;0,297868499;0,231001573;0,211393356;0,179301404;0,207268532;0,153769432;0,114656537;0,115532131;0,141966792;0,129674606;0,128462547
AFLUENT_GURRI;2021;0,125245223;0,123666797;0,123219512;0,16374407;0,164650876;0,068836757;0,038165358;0,031511546;0,035414863;0,023291331;0,0436839;0,028515191
AFLUENT_GURRI;2022;0,029518033;0,027509647;0,070052741;0,090433333;0,07;0,042916667;0,042467742;0,012029617;0,015;0,008869712;0,008778466;0,009736111
AFLUENT_GURRI;2023;0,004670732;0,012142857;0,029505395;0,063111852;0,054208885;0,0648;0,027193548;0,019193548;0,004433333;0,003588087;0,005766609;0,002906698
AFLUENT_GURRI;2024;0,006014673;0,003264865;0,033341081;0,057966667;0,058822581;0,076483333;0,056548387;0,022467742;0,021833333;0,050257449;0,055359464;0,029356463
AFLUENT_GURRI;2025;0,025050627;0,04878063;0,185992967;0,12400587;0,15439599;0,104277321;0,087398343;;;;;
AFLUENT_LLEMENA;2007;0,054516129;0,064642857;0,07483871;0,209;0,117741935;0,076333333;0,15;0,502258065;0,4636;0,078709677;0,064666667;0,05483871
AFLUENT_LLEMENA;2008;0,045258065;0,043896552;0,041193548;0,054066667;0,079225806;0,0851;0,05983871;0,046129032;0,036666667;0,07214198;0,115548247;0,162311996
AFLUENT_LLEMENA;2009;0,382122181;0,658744579;0,305455039;0,428505809;0,487426634;0,175449193;0,054516129;0,030967742;0,180024297;0,195080809;0,136173243;0,118812506
AFLUENT_LLEMENA;2010;0,143166136;0,211188091;0,280434822;0,192952046;0,539505157;0,281546865;0,165466941;0,14590417;0,156187225;0,415276021;0,203452307;0,23972375
AFLUENT_LLEMENA;2011;0,246740422;0,242157091;1,071657737;0,318482225;0,313083036;;;;;;;
AFLUENT_LLEMENA;2012;;;;;;;;;;;;
AFLUENT_LLEMENA;2013;;;;;;;;;;;;
AFLUENT_LLEMENA;2014;;;;;;;;;;;;
AFLUENT_LLEMENA;2015;;;;;;;;;;;;
AFLUENT_LLEMENA;2016;;;;;;;;;;;;
AFLUENT_LLEMENA;2017;;;;;;;;;0,0074672;0,020397281;0,031119005;0,034683379
AFLUENT_LLEMENA;2018;;;;;;;0,09465056;0,059791999;0,095731555;0,478690699;0,930142837;0,382734663
AFLUENT_LLEMENA;2019;0,2335621;0,117690148;0,06222569;0,055045277;0,049716733;0,032293989;0,004042861;0,001206119;0,001165489;0,064027343;0,017883265;0,249507282
AFLUENT_LLEMENA;2020;2,980293234;0,419756328;0,23491133;1,795102455;0,774935135;0,697681176;0,368277996;0,181654471;0,128452786;0,122234918;0,320176271;0,195052927
AFLUENT_LLEMENA;2020;2,980293234;0,419756328;0,23491133;1,795102455;0,774935135;0,697681176;0,368277996;0,181654471;0,128452786;0,122234918;0,320176271;0,195052927
AFLUENT_LLEMENA;2021;0,161954261;0,163512866;0,130497663;0,144300716;0,18522903;0,133224954;0,092241639;0,078429201;0,070848384;0,034607522;0,080417125;0,071721758
AFLUENT_LLEMENA;2021;0,161954261;0,163512866;0,130497663;0,144300716;0,18522903;0,133224954;0,092241639;0,078429201;0,070848384;0,034607522;0,080417125;0,071721758
AFLUENT_LLEMENA;2022;0,060400998;0,045980904;0,087120702;0,086305699;0,073993239;0,037951444;0,022588519;0,027393474;0,024392868;0,033586962;0,036188819;0,054408623
AFLUENT_LLEMENA;2022;0,060400998;0,045980904;0,087120702;0,086305699;0,073993239;0,037951444;0,022588519;0,027393474;0,024392868;0,033586962;0,036188819;0,054408623
AFLUENT_LLEMENA;2023;0,070593389;0,057281958;0,04030725;0,034282281;0,032002319;0,034900107;0,024253442;0,019911839;0,023904739;0,020297709;0,023570509;0,024679387
AFLUENT_LLEMENA;2023;0,070593389;0,057281958;0,04030725;0,034282281;0,032002319;0,034900107;0,024253442;0,019911839;0,023904739;0,020297709;0,023570509;0,024679387
AFLUENT_LLEMENA;2024;0,021245245;0,024949516;0,031377682;0,044283551;0,052978774;0,031741476;0,020583563;0,019921234;0,025474712;0,035953213;0,038078121;0,024443479
AFLUENT_LLEMENA;2024;0,021245245;0,024949516;0,031377682;0,044283551;0,052978774;0,031741476;0,020583563;0,019921234;0,025474712;0,035953213;0,038078121;0,024443479
AFLUENT_LLEMENA;2025;0,021152271;0,031149727;0,809219846;0,226294396;0,261713392;0,159076852;0,161227533;;;;;
AFLUENT_MAJOR_TER;2007;;;;;;;;;;;;
AFLUENT_MAJOR_TER;2008;;;;;;;;;;;;0,662907019
AFLUENT_MAJOR_TER;2009;0,080366083;0,106810373;0,060024825;0,125406669;0,082753701;0,106449496;0,065459748;0,030736084;0,052993845;0,073481977;0,027080621;0,030299081
AFLUENT_MAJOR_TER;2010;0,031246774;0,034926932;0,092985769;0,069188648;0,120247314;0,14125357;0,092500733;0,063649911;0,065114182;0,657193867;0,109788408;0,032702807
AFLUENT_MAJOR_TER;2011;0,03189573;0,095064091;0,108750779;0,066724308;0,07599771;0,194447826;0,110086641;0,073120076;0,042145606;0,042320647;0,04179786;0,041287595
AFLUENT_MAJOR_TER;2012;0,041082549;0,040869862;;;;;;;;;;
AFLUENT_MAJOR_TER;2013;;;;;;;;;;;;
AFLUENT_MAJOR_TER;2014;;;;;;;;;;;;
AFLUENT_MAJOR_TER;2015;;;0,823063037;0,070564645;0,04590369;0,041595153;0,019461564;0,032561075;0,045251231;0,056647396;0,118423117;0,061420086
AFLUENT_MAJOR_TER;2016;0,053413328;0,05493873;0,051875361;0,053869623;0,047158252;0,072385412;0,010257325;;;0,004860235;0,004667367;0,004487907
AFLUENT_MAJOR_TER;2017;0,004393956;0,046920806;0,250778638;0,04020731;0,029144705;0,021407425;0,01240641;0,009768251;0,030975843;0,041600244;0,040778132;0,039458286
AFLUENT_MAJOR_TER;2018;0,042196223;0,158903142;0,07851333;0,35559787;0,13653643;0,125499853;0,03857797;0,12563957;0,048036966;2,165714892;0,789099739;0,163093023
AFLUENT_MAJOR_TER;2019;0,125235595;0,083856695;0,053377296;0,055400682;0,050054523;0,0480367;0,038572738;0,024233266;0,12310473;0,780182669;0,178030695;1,207960241
